Season,Team,POS,PLAYER,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w,player_strength
2018,Delhi,12,Shahbaz Nadeem,6,6,15,161,3,0,53.66,10.73,30,0,0,111.1966449
2018,Delhi,13,Vijay Shankar,13,4,5,58,1,0,58,11.6,30,0,0,92.20689655
2018,Delhi,14,Junior Dala,1,1,3,34,0,0,50,11.33,-,0,0,91.26125331
2018,Punjab,1,AndrewTye,14,14,56,448,24,0,18.66,8,14,3,0,205
2018,Punjab,2,Mujeeb Ur Rahman,11,11,41.2,289,14,0,20.64,6.99,17.71,0,0,198.2615165
2018,Punjab,3,Ankit Rajpoot,8,8,26.1,223,11,0,20.27,8.52,14.27,0,1,154.470892
2018,Punjab,4,Ravichandran Ashwin,14,14,50.4,410,10,0,41,8.09,30.4,0,0,184.0093943
2018,Punjab,5,Mohit Sharma,9,9,29.4,322,7,0,46,10.85,25.42,0,0,128.5658986
2018,Punjab,6,Barinder Sran,6,6,22,229,4,0,57.25,10.4,33,0,0,122.1538462
2018,Punjab,7,Axar Patel,9,8,26,218,3,0,72.66,8.38,52,0,0,148.3317422
2018,Punjab,8,Marcus Stoinis,7,6,11,120,3,0,40,10.9,22,0,0,105.7431193
2018,Punjab,9,Manoj Tiwary,5,1,1,10,0,0,50,10,-,0,0,101
2018,Punjab,10,Yuvraj Singh,8,2,2,23,0,0,50,11.5,-,0,0,88.95652174
2018,Kolkata,1,SunilNarine,16,16,61,467,17,0,27.47,7.65,21.52,0,0,208.7189542
2018,Kolkata,2,Kuldeep Yadav,16,16,51.2,418,17,0,24.58,8.14,18.11,1,0,191.0501229
2018,Kolkata,3,Piyush Chawla,15,15,49,412,14,0,29.42,8.4,21,0,0,182.047619
2018,Kolkata,4,Andre Russell,16,15,37.5,355,13,0,27.3,9.38,17.46,0,0,157.1098081
2018,Kolkata,5,Prasidh Krishna,7,7,28,260,10,0,26,9.28,16.8,1,0,145.7586207
2018,Kolkata,6,Tom Curran,5,5,10.1,118,6,0,19.66,11.6,10.16,0,0,102.3068966
2018,Kolkata,7,Shivam Mavi,9,9,28,270,5,0,54,9.64,33.6,0,0,136.7344398
2018,Kolkata,8,Nitish Rana,15,5,6.1,44,4,0,11,7.13,9.25,0,0,150.3524544
2018,Kolkata,9,Mitchell Johnson,6,6,21,216,2,0,108,10.28,63,0,0,120.2762646
2018,Kolkata,10,Javon Searles,4,3,7,89,2,0,44.5,12.71,21,0,0,87.67820614
2018,Kolkata,11,Vinay Kumar,2,2,3.5,65,2,0,32.5,16.95,11.5,0,0,64.49705015
2018,Mumbai,1,HardikPandya,13,13,42.4,381,18,0,21.16,8.92,14.22,0,0,172.5076233
2018,Mumbai,2,Jasprit Bumrah,14,14,54,372,17,0,21.88,6.88,19.05,0,0,216.3488372
2018,Mumbai,3,Mayank Markande,14,14,44,368,15,0,24.53,8.36,17.6,1,0,178.6172249
2018,Mumbai,4,Mitchell McClenaghan,11,11,40,332,14,0,23.71,8.3,17.14,0,0,174.4819277
